country,city,geo_type,date,driving_waze
United States,San Diego,city,2020-07-05,-46.0
United States,San Diego,city,2020-07-06,-40.0
United States,San Diego,city,2020-07-07,-47.0
United States,San Diego,city,2020-07-08,-55.00000000000001
United States,San Diego,city,2020-07-09,-51.0
United States,San Diego,city,2020-07-10,-42.0
United States,San Diego,city,2020-07-11,-41.0
United States,San Diego,city,2020-07-12,-42.0
United States,San Diego,city,2020-07-13,-41.0
United States,San Diego,city,2020-07-14,-48.0
United States,San Diego,city,2020-07-15,-54.0
United States,San Diego,city,2020-07-16,-50.0
United States,San Diego,city,2020-07-17,-49.0
United States,San Diego,city,2020-07-18,-44.0
United States,San Diego,city,2020-07-19,-42.0
United States,San Diego,city,2020-07-20,-44.0
United States,San Diego,city,2020-07-21,-50.0
United States,San Diego,city,2020-07-22,-47.0
United States,San Diego,city,2020-07-23,-51.0
United States,San Diego,city,2020-07-24,-44.0
United States,San Diego,city,2020-07-25,-40.0
United States,San Diego,city,2020-07-26,-40.0
United States,San Diego,city,2020-07-27,-46.0
United States,San Diego,city,2020-07-28,-48.0
United States,San Diego,city,2020-07-29,-49.0
United States,San Diego,city,2020-07-30,-50.0
United States,San Diego,city,2020-07-31,-44.0
United States,San Diego,city,2020-08-01,-37.0
United States,San Diego,city,2020-08-02,-35.0
United States,San Diego,city,2020-08-03,-35.0
United States,San Diego,city,2020-08-04,-45.0
United States,San Diego,city,2020-08-05,-48.0
United States,San Diego,city,2020-08-06,-46.0
United States,San Diego,city,2020-08-07,-43.0
United States,San Diego,city,2020-08-08,-30.0
United States,San Diego,city,2020-08-09,-33.0
United States,San Diego,city,2020-08-10,-37.0
United States,San Diego,city,2020-08-11,-46.0
United States,San Diego,city,2020-08-12,-48.0
United States,San Diego,city,2020-08-13,-45.0
United States,San Diego,city,2020-08-14,-36.0
United States,San Diego,city,2020-08-15,-27.0
United States,San Diego,city,2020-08-16,-35.0
United States,San Diego,city,2020-08-17,-30.0
United States,San Diego,city,2020-08-18,-44.0
United States,San Diego,city,2020-08-19,-48.0
United States,San Diego,city,2020-08-20,-44.0
United States,San Diego,city,2020-08-21,-43.0
United States,San Diego,city,2020-08-22,-28.000000000000004
United States,San Diego,city,2020-08-23,-32.0
United States,San Diego,city,2020-08-24,-39.0
United States,San Diego,city,2020-08-25,-51.0
United States,San Diego,city,2020-08-26,-50.0
United States,San Diego,city,2020-08-27,-43.0
United States,San Diego,city,2020-08-28,-41.0
United States,San Diego,city,2020-08-29,-31.0
United States,San Diego,city,2020-08-30,-38.0
United States,San Diego,city,2020-08-31,-43.0
United States,San Diego,city,2020-09-01,-50.0
United States,San Diego,city,2020-09-02,-50.0
United States,San Diego,city,2020-09-03,-49.0
United States,San Diego,city,2020-09-04,-38.0
United States,San Diego,city,2020-09-05,-16.0
United States,San Diego,city,2020-09-06,-26.0
United States,San Diego,city,2020-09-07,-41.0
United States,San Diego,city,2020-09-08,-36.0
United States,San Diego,city,2020-09-09,-48.0
United States,San Diego,city,2020-09-10,-44.0
United States,San Diego,city,2020-09-11,-45.0
United States,San Diego,city,2020-09-12,-28.999999999999996
United States,San Diego,city,2020-09-13,-31.0
United States,San Diego,city,2020-09-14,-34.0
United States,San Diego,city,2020-09-15,-49.0
United States,San Diego,city,2020-09-16,-50.0
United States,San Diego,city,2020-09-17,-47.0
United States,San Diego,city,2020-09-18,-43.0
United States,San Diego,city,2020-09-19,-25.0
United States,San Diego,city,2020-09-20,-35.0
United States,San Diego,city,2020-09-21,-37.0
United States,San Diego,city,2020-09-22,-46.0
United States,San Diego,city,2020-09-23,-46.0
United States,San Diego,city,2020-09-24,-47.0
United States,San Diego,city,2020-09-25,-42.0
United States,San Diego,city,2020-09-26,-28.000000000000004
United States,San Diego,city,2020-09-27,-26.0
United States,San Diego,city,2020-09-28,-40.0
United States,San Diego,city,2020-09-29,-45.0
United States,San Diego,city,2020-09-30,-47.0
United States,San Diego,city,2020-10-01,-45.0
United States,San Diego,city,2020-10-02,-45.0
United States,San Diego,city,2020-10-03,-30.0
United States,San Diego,city,2020-10-04,-32.0
United States,San Diego,city,2020-10-05,-38.0
United States,San Diego,city,2020-10-06,-48.0
United States,San Diego,city,2020-10-07,-47.0
United States,San Diego,city,2020-10-08,-51.0
United States,San Diego,city,2020-10-09,-41.0
United States,San Diego,city,2020-10-10,-31.0
United States,San Diego,city,2020-10-11,-31.0
United States,San Diego,city,2020-10-12,-40.0
United States,San Diego,city,2020-10-13,-47.0
United States,San Diego,city,2020-10-14,-47.0
United States,San Diego,city,2020-10-15,-47.0
United States,San Diego,city,2020-10-16,-43.0
United States,San Diego,city,2020-10-17,-26.0
United States,San Diego,city,2020-10-18,-33.0
United States,San Diego,city,2020-10-19,-40.0
United States,San Diego,city,2020-10-20,-50.0
United States,San Diego,city,2020-10-21,-48.0
United States,San Diego,city,2020-10-22,-49.0
United States,San Diego,city,2020-10-23,-44.0
United States,San Diego,city,2020-10-24,-30.0
United States,San Diego,city,2020-10-25,-34.0
United States,San Diego,city,2020-10-26,-41.0
United States,San Diego,city,2020-10-27,-51.0
United States,San Diego,city,2020-10-28,-51.0
United States,San Diego,city,2020-10-29,-45.0
United States,San Diego,city,2020-10-30,-38.0
United States,San Diego,city,2020-10-31,-37.0
United States,San Diego,city,2020-11-01,-41.0
United States,San Diego,city,2020-11-02,-41.0
United States,San Diego,city,2020-11-03,-51.0
United States,San Diego,city,2020-11-04,-52.0
United States,San Diego,city,2020-11-05,-44.0
United States,San Diego,city,2020-11-06,-47.0
United States,San Diego,city,2020-11-07,-47.0
United States,San Diego,city,2020-11-08,-46.0
United States,San Diego,city,2020-11-09,-47.0
United States,San Diego,city,2020-11-10,-51.0
United States,San Diego,city,2020-11-11,-49.0
United States,San Diego,city,2020-11-12,-48.0
United States,San Diego,city,2020-11-13,-47.0
United States,San Diego,city,2020-11-14,-37.0
United States,San Diego,city,2020-11-15,-41.0
United States,San Diego,city,2020-11-16,-42.0
United States,San Diego,city,2020-11-17,-53.0
United States,San Diego,city,2020-11-18,-48.0
United States,San Diego,city,2020-11-19,-49.0
United States,San Diego,city,2020-11-20,-55.00000000000001
United States,San Diego,city,2020-11-21,-46.0
United States,San Diego,city,2020-11-22,-44.0
United States,San Diego,city,2020-11-23,-44.0
United States,San Diego,city,2020-11-24,-47.0
United States,San Diego,city,2020-11-25,-48.0
United States,San Diego,city,2020-11-26,-56.00000000000001
United States,San Diego,city,2020-11-27,-59.0
United States,San Diego,city,2020-11-28,-50.0
United States,San Diego,city,2020-11-29,-39.0
United States,San Diego,city,2020-11-30,-42.0
United States,San Diego,city,2020-12-01,-49.0
United States,San Diego,city,2020-12-02,-54.0
United States,San Diego,city,2020-12-03,-53.0
United States,San Diego,city,2020-12-04,-54.0
United States,San Diego,city,2020-12-05,-51.0
United States,San Diego,city,2020-12-06,-48.0
United States,San Diego,city,2020-12-07,-50.0
United States,San Diego,city,2020-12-08,-56.99999999999999
United States,San Diego,city,2020-12-09,-56.99999999999999
United States,San Diego,city,2020-12-10,-60.0
United States,San Diego,city,2020-12-11,-59.0
United States,San Diego,city,2020-12-12,-53.0
United States,San Diego,city,2020-12-13,-56.00000000000001
United States,San Diego,city,2020-12-14,-49.0
United States,San Diego,city,2020-12-15,-57.99999999999999
United States,San Diego,city,2020-12-16,-56.00000000000001
United States,San Diego,city,2020-12-17,-56.00000000000001
United States,San Diego,city,2020-12-18,-56.00000000000001
United States,San Diego,city,2020-12-19,-53.0
United States,San Diego,city,2020-12-20,-50.0
United States,San Diego,city,2020-12-21,-45.0
United States,San Diego,city,2020-12-22,-50.0
United States,San Diego,city,2020-12-23,-48.0
United States,San Diego,city,2020-12-24,-55.00000000000001
United States,San Diego,city,2020-12-25,-73.0
United States,San Diego,city,2020-12-26,-60.0
United States,San Diego,city,2020-12-27,-49.0
United States,San Diego,city,2020-12-28,-51.0
United States,San Diego,city,2020-12-29,-56.99999999999999
United States,San Diego,city,2020-12-30,-52.0
United States,San Diego,city,2020-12-31,-55.00000000000001
United States,San Diego,city,2021-01-01,-64.0
United States,San Diego,city,2021-01-02,-62.0
United States,San Diego,city,2021-01-03,-47.0
United States,San Diego,city,2021-01-04,-47.0
United States,San Diego,city,2021-01-05,-56.99999999999999
United States,San Diego,city,2021-01-06,-57.99999999999999
United States,San Diego,city,2021-01-07,-51.0
United States,San Diego,city,2021-01-08,-54.0
United States,San Diego,city,2021-01-09,-50.0
United States,San Diego,city,2021-01-10,-53.0
United States,San Diego,city,2021-01-11,-51.0
United States,San Diego,city,2021-01-12,-56.99999999999999
United States,San Diego,city,2021-01-13,-56.99999999999999
United States,San Diego,city,2021-01-14,-56.99999999999999
United States,San Diego,city,2021-01-15,-59.0
United States,San Diego,city,2021-01-16,-46.0
United States,San Diego,city,2021-01-17,-41.0
United States,San Diego,city,2021-01-18,-50.0
United States,San Diego,city,2021-01-19,-52.0
United States,San Diego,city,2021-01-20,-57.99999999999999
United States,San Diego,city,2021-01-21,-59.0
